,加拿大,法国,德国,意大利,日本,韩国,墨西哥,俄罗斯,南非,土耳其,英国,美国,巴西,中国,印度,印度尼西亚
2000-01,1.18 ,85.11,0.7431532,82.02,-0.30 ,0.6534219,13.17 ,,,,0,1.996577,53.22,,,
2000-02,1.28 ,85.11,0.5393021,82.24,-0.10 ,0.769434,12.36 ,,,,0.1302083,2.162777,53.39,,,
2000-03,1.28 ,85.51,0.4657608,82.35,-0.30 ,1.304989,11.33 ,,,,0.1298701,2.440409,53.47,,,
2000-04,1.17 ,85.46,0.697413,82.35,-0.40 ,1.495597,10.59 ,,,,0,2.319005,53.8,,,
2000-05,1.06 ,85.51,0.2980925,82.57,-0.20 ,1.279281,10.01 ,,,,0,2.434881,53.91,,,
2000-06,1.27 ,85.65,0.359841,82.68,-0.30 ,1.468644,9.53 ,,,,-0.1290323,2.491506,54.07,,,
2000-07,1.16 ,85.43,0.3805946,82.89,-0.30 ,1.968265,9.17 ,,,,-0.1302083,2.487281,54.52,,,
2000-08,1.16 ,85.72,0.3368014,83,-0.30 ,2.170697,8.80 ,,,,0,2.597403,54.75,,,
2000-09,1.05 ,85.81,0.4068628,83,-0.50 ,2.679892,8.32 ,,,,0.1290323,2.588633,54.89,,,
2000-10,1.26 ,85.89,0.4842452,83.22,-0.60 ,2.600532,8.11 ,,,,0.2583979,2.523836,55.01,,,
2000-11,1.47 ,85.85,0.2001588,83.44,-0.50 ,2.600532,8.11 ,,,,0.2580645,2.578475,55.17,,,
2000-12,1.69 ,85.97,1.075676,83.44,-0.60 ,2.905196,7.85 ,,,,0.2577319,2.581369,55.34,,,
2001-01,1.80 ,85.8,0.5584856,83.33,-0.80 ,3.238172,7.26 ,,,,0.5221932,2.628635,55.63,,,
2001-02,1.68 ,85.97,0.910941,82.68,-0.80 ,3.433702,6.89 ,,,,0.390117,2.729805,55.98,,,
2001-03,1.89 ,86.32,0.9827766,83.55,-0.90 ,3.409613,6.84 ,,,,0.5188068,2.65928,56.13,,,
2001-04,2.20 ,86.61,1.124923,84.32,-0.80 ,3.606623,6.80 ,,,,0.7761967,2.59812,56.38,,,
2001-05,2.30 ,86.68,1.3326,84.54,-1.00 ,4.11781,6.71 ,,,,1.032258,2.542841,56.66,,,
2001-06,2.19 ,86.76,1.353734,84.76,-0.90 ,4.116772,6.70 ,,,,1.29199,2.707182,57.08,,,
2001-07,2.51 ,86.66,1.214477,84.54,-0.90 ,3.59788,6.51 ,,,,1.564537,2.702703,57.77,,,
2001-08,2.40 ,87,1.358016,84.43,-0.90 ,3.5938,6.42 ,,,,1.818182,2.696753,58.18,,,
2001-09,2.29 ,87.13,1.514713,84.65,-0.80 ,3.278738,6.40 ,,,,1.28866,2.633023,58.41,,,
2001-10,2.18 ,87.24,1.693138,85.31,-0.70 ,3.175469,6.12 ,,,,1.159794,2.625821,58.69,,,
2001-11,1.76 ,87.14,1.639499,85.53,-0.80 ,3.27243,5.70 ,,,,1.158301,2.786885,59.08,,,
2001-12,1.66 ,87.39,1.692999,85.64,-0.90 ,3.264252,5.36 ,,,,1.285347,2.73523,59.54,,,
2002-01,1.87 ,87.57,1.763052,85.42,-0.80 ,2.745838,5.10 ,,72.91,,1.688312,2.561308,59.98,,,
